pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
tennis_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [756, 941, 514, 24, 756]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'tennis_v2', 'env_type': 'pettingzoo', 'num_envs': 5, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.001, 'eps_decay': 100000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'selfplay2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False, 'selfplay_score_delta': 50, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20220508_1730/pettingzoo_tennis_v2_selfplay2. 
 Save logs to: /home/zihan/research/MARS/data/log/20220508_1730/pettingzoo_tennis_v2_selfplay2.
Episode: 1/10000 (0.0100%),                 avg. length: 9999.0,                last time consumption/overall running time: 87.7209s / 87.7209 s
env0_first_0:                 episode reward: 214.0000,                 loss: 0.0682
env0_second_0:                 episode reward: -214.0000,                 loss: nan
env1_first_0:                 episode reward: 219.0000,                 loss: nan
env1_second_0:                 episode reward: -219.0000,                 loss: nan
env2_first_0:                 episode reward: 216.0000,                 loss: nan
env2_second_0:                 episode reward: -216.0000,                 loss: nan
env3_first_0:                 episode reward: 219.0000,                 loss: nan
env3_second_0:                 episode reward: -219.0000,                 loss: nan
env4_first_0:                 episode reward: 216.0000,                 loss: nan
env4_second_0:                 episode reward: -216.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 9999.0,                last time consumption/overall running time: 2989.8013s / 3077.5223 s
env0_first_0:                 episode reward: 216.1000,                 loss: 0.0182
env0_second_0:                 episode reward: -216.1000,                 loss: nan
env1_first_0:                 episode reward: 209.0000,                 loss: nan
env1_second_0:                 episode reward: -209.0000,                 loss: nan
env2_first_0:                 episode reward: 214.6000,                 loss: nan
env2_second_0:                 episode reward: -214.6000,                 loss: nan
env3_first_0:                 episode reward: 215.9000,                 loss: nan
env3_second_0:                 episode reward: -215.9000,                 loss: nan
env4_first_0:                 episode reward: 214.7000,                 loss: nan
env4_second_0:                 episode reward: -214.7000,                 loss: nan
Score delta: 431.0, update the opponent.
Episode: 41/10000 (0.4100%),                 avg. length: 9999.0,                last time consumption/overall running time: 2892.3994s / 5969.9216 s
env0_first_0:                 episode reward: -219.0000,                 loss: nan
env0_second_0:                 episode reward: 219.0000,                 loss: 0.0152
env1_first_0:                 episode reward: -219.0000,                 loss: nan
env1_second_0:                 episode reward: 219.0000,                 loss: nan
env2_first_0:                 episode reward: -219.0000,                 loss: nan
env2_second_0:                 episode reward: 219.0000,                 loss: nan
env3_first_0:                 episode reward: -219.0000,                 loss: nan
env3_second_0:                 episode reward: 219.0000,                 loss: nan
env4_first_0:                 episode reward: -219.0000,                 loss: nan
env4_second_0:                 episode reward: 219.0000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 3386.3,                last time consumption/overall running time: 1141.8383s / 7111.7599 s
env0_first_0:                 episode reward: -15.9000,                 loss: 0.0237
env0_second_0:                 episode reward: 15.9000,                 loss: 0.0121
env1_first_0:                 episode reward: -12.5000,                 loss: nan
env1_second_0:                 episode reward: 12.5000,                 loss: nan
env2_first_0:                 episode reward: -20.7500,                 loss: nan
env2_second_0:                 episode reward: 20.7500,                 loss: nan
env3_first_0:                 episode reward: -5.1000,                 loss: nan
env3_second_0:                 episode reward: 5.1000,                 loss: nan
env4_first_0:                 episode reward: -8.9500,                 loss: nan
env4_second_0:                 episode reward: 8.9500,                 loss: nan
Score delta: 438.0, update the opponent.
Episode: 81/10000 (0.8100%),                 avg. length: 2863.55,                last time consumption/overall running time: 968.3943s / 8080.1542 s
env0_first_0:                 episode reward: 11.3000,                 loss: 0.0198
