pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
Load surround_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 49
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f7cbcdf2cd0>
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  ../data/model/20211120_1257/pettingzoo_surround_v1_selfplay2/1_0
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': '../data/model/20211120_1257/pettingzoo_surround_v1_selfplay2/1_0', 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'selfplay2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 16, 'trainable_agent_idx': 0, 'opponent_idx': 1}, 'against_baseline': False}
Save models to : /home/zihan/research/MARS/data/model/20211120_1257_exploit/pettingzoo_surround_v1_selfplay2. 
 Save logs to: /home/zihan/research/MARS/data/log/20211120_1257_exploit/pettingzoo_surround_v1_selfplay2.
Episode: 1, avg. length 1172.0
first_0:                 episode reward: 10.0000,                 loss: nan
second_0:                 episode reward: -10.0000,                 loss: 0.4722
Episode: 21, avg. length 1162.55
first_0:                 episode reward: 9.2000,                 loss: nan
second_0:                 episode reward: -9.2000,                 loss: 0.0376
Episode: 41, avg. length 1441.4
first_0:                 episode reward: 8.5000,                 loss: nan
second_0:                 episode reward: -8.5000,                 loss: 0.0371
Episode: 61, avg. length 1790.9
first_0:                 episode reward: 6.3000,                 loss: nan
second_0:                 episode reward: -6.3000,                 loss: 0.0532
Episode: 81, avg. length 2149.45
first_0:                 episode reward: 1.2500,                 loss: nan
second_0:                 episode reward: -1.2500,                 loss: 0.0472
Episode: 101, avg. length 1643.2
first_0:                 episode reward: 7.2500,                 loss: nan
second_0:                 episode reward: -7.2500,                 loss: 0.0403
Episode: 121, avg. length 2075.75
first_0:                 episode reward: 5.5000,                 loss: nan
second_0:                 episode reward: -5.5000,                 loss: 0.0367
Episode: 141, avg. length 2159.7
first_0:                 episode reward: 4.4000,                 loss: nan
second_0:                 episode reward: -4.4000,                 loss: 0.0367
Episode: 161, avg. length 1634.95
first_0:                 episode reward: 8.4000,                 loss: nan
second_0:                 episode reward: -8.4000,                 loss: 0.0395
Episode: 181, avg. length 1561.15
first_0:                 episode reward: 8.9500,                 loss: nan
second_0:                 episode reward: -8.9500,                 loss: 0.0387
Episode: 201, avg. length 2051.6
first_0:                 episode reward: 3.4000,                 loss: nan
second_0:                 episode reward: -3.4000,                 loss: 0.0348
Episode: 221, avg. length 2201.2
first_0:                 episode reward: 2.8500,                 loss: nan
second_0:                 episode reward: -2.8500,                 loss: 0.0370
Episode: 241, avg. length 1844.2
first_0:                 episode reward: 4.3500,                 loss: nan
second_0:                 episode reward: -4.3500,                 loss: 0.0419
Episode: 261, avg. length 1532.2
first_0:                 episode reward: 7.8000,                 loss: nan
second_0:                 episode reward: -7.8000,                 loss: 0.0420
Episode: 281, avg. length 1712.45
first_0:                 episode reward: 5.2500,                 loss: nan
second_0:                 episode reward: -5.2500,                 loss: 0.0366
Episode: 301, avg. length 2085.55
first_0:                 episode reward: -0.3500,                 loss: nan
second_0:                 episode reward: 0.3500,                 loss: 0.0364
Episode: 321, avg. length 1697.2
first_0:                 episode reward: 3.6500,                 loss: nan
second_0:                 episode reward: -3.6500,                 loss: 0.0370
Episode: 341, avg. length 1791.7
first_0:                 episode reward: -7.3500,                 loss: nan
second_0:                 episode reward: 7.3500,                 loss: 0.0352
Episode: 361, avg. length 2178.6
first_0:                 episode reward: -3.1000,                 loss: nan
second_0:                 episode reward: 3.1000,                 loss: 0.0412
Episode: 381, avg. length 1954.85
first_0:                 episode reward: -3.9000,                 loss: nan
second_0:                 episode reward: 3.9000,                 loss: 0.0409
Episode: 401, avg. length 1661.9
first_0:                 episode reward: -7.9000,                 loss: nan
second_0:                 episode reward: 7.9000,                 loss: 0.0342
Episode: 421, avg. length 1695.9
first_0:                 episode reward: 0.2000,                 loss: nan
second_0:                 episode reward: -0.2000,                 loss: 0.0307
Episode: 441, avg. length 1850.35
first_0:                 episode reward: 2.4500,                 loss: nan
second_0:                 episode reward: -2.4500,                 loss: 0.0327
Episode: 461, avg. length 1463.45
first_0:                 episode reward: -6.5000,                 loss: nan
second_0:                 episode reward: 6.5000,                 loss: 0.0344
Episode: 481, avg. length 1427.8
first_0:                 episode reward: -8.1000,                 loss: nan
second_0:                 episode reward: 8.1000,                 loss: 0.0321
Episode: 501, avg. length 1452.85
first_0:                 episode reward: -7.9000,                 loss: nan
second_0:                 episode reward: 7.9000,                 loss: 0.0373
Episode: 521, avg. length 1485.95
first_0:                 episode reward: -5.7000,                 loss: nan
second_0:                 episode reward: 5.7000,                 loss: 0.0315
Episode: 541, avg. length 1516.25
first_0:                 episode reward: 4.7500,                 loss: nan
second_0:                 episode reward: -4.7500,                 loss: 0.0319
Episode: 561, avg. length 1476.5
first_0:                 episode reward: 8.1000,                 loss: nan
second_0:                 episode reward: -8.1000,                 loss: 0.0358
Episode: 581, avg. length 1496.45
first_0:                 episode reward: -2.0500,                 loss: nan
second_0:                 episode reward: 2.0500,                 loss: 0.0286
Episode: 601, avg. length 1294.65
first_0:                 episode reward: -9.3500,                 loss: nan
