pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
boxing_v1 pettingzoo
Load boxing_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
random seed: 96
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f8e4a335750>
boxing_v1 pettingzoo
Load boxing_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
random seed: 85
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nxdo2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 60, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20211109_1530/pettingzoo_boxing_v1_nxdo2. 
 Save logs to: /home/zihan/research/MARS/data/log/20211109_1530/pettingzoo_boxing_v1_nxdo2.
Episode: 1, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: 0.5979
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 21, avg. length 1784.0
first_0:                 episode reward: 6.5000,                 loss: 0.0712
second_0:                 episode reward: -6.5000,                 loss: nan
Episode: 41, avg. length 1784.0
first_0:                 episode reward: 16.3000,                 loss: 0.0336
second_0:                 episode reward: -16.3000,                 loss: nan
Episode: 61, avg. length 1784.0
first_0:                 episode reward: 24.5500,                 loss: 0.0429
second_0:                 episode reward: -24.5500,                 loss: nan
Episode: 81, avg. length 1784.0
first_0:                 episode reward: 24.9000,                 loss: nan
second_0:                 episode reward: -24.9000,                 loss: nan
Score delta: 63.2, udpate first_0.
Episode: 101, avg. length 1784.0
first_0:                 episode reward: 11.4000,                 loss: nan
second_0:                 episode reward: -11.4000,                 loss: 0.0636
Episode: 121, avg. length 1784.0
first_0:                 episode reward: 8.2500,                 loss: nan
second_0:                 episode reward: -8.2500,                 loss: 0.0574
Episode: 141, avg. length 1784.0
first_0:                 episode reward: 12.6000,                 loss: nan
second_0:                 episode reward: -12.6000,                 loss: 0.0644
Episode: 161, avg. length 1784.0
first_0:                 episode reward: 3.4000,                 loss: nan
second_0:                 episode reward: -3.4000,                 loss: 0.0736
Episode: 181, avg. length 1784.0
first_0:                 episode reward: -7.2500,                 loss: nan
second_0:                 episode reward: 7.2500,                 loss: 0.0609
Episode: 201, avg. length 1784.0
first_0:                 episode reward: -18.8000,                 loss: nan
second_0:                 episode reward: 18.8000,                 loss: 0.0553
Episode: 221, avg. length 1784.0
