pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
boxing_v1 pettingzoo
Load boxing_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
random seed: 58
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f8ba5d1b350>
No agent are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 0.1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10}}
Save models to : /home/zihan/research/MARS/data/model/20211109_1530/pettingzoo_boxing_v1_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20211109_1530/pettingzoo_boxing_v1_nash_dqn.
Episode: 1, avg. length 1784.0
first_0:                 episode reward: 11.0000,                 loss: 0.0187
second_0:                 episode reward: -11.0000,                 loss: 0.0184
Episode: 21, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: 0.0072
second_0:                 episode reward: 0.0000,                 loss: 0.0070
Episode: 41, avg. length 1784.0
first_0:                 episode reward: 0.1000,                 loss: 0.0035
second_0:                 episode reward: -0.1000,                 loss: 0.0038
Episode: 61, avg. length 1784.0
first_0:                 episode reward: -1.3000,                 loss: 0.0067
second_0:                 episode reward: 1.3000,                 loss: 0.0066
Episode: 81, avg. length 1784.0
first_0:                 episode reward: -2.9000,                 loss: 0.0098
second_0:                 episode reward: 2.9000,                 loss: 0.0097
Episode: 101, avg. length 1784.0
first_0:                 episode reward: -2.8000,                 loss: 0.0137
second_0:                 episode reward: 2.8000,                 loss: 0.0144
Episode: 121, avg. length 1784.0
first_0:                 episode reward: -1.6000,                 loss: 0.0155
second_0:                 episode reward: 1.6000,                 loss: 0.0151
Episode: 141, avg. length 1784.0
first_0:                 episode reward: 0.5500,                 loss: 0.0113
second_0:                 episode reward: -0.5500,                 loss: 0.0115
Episode: 161, avg. length 1784.0
first_0:                 episode reward: 1.2000,                 loss: 0.0065
second_0:                 episode reward: -1.2000,                 loss: 0.0066
Episode: 181, avg. length 1784.0
first_0:                 episode reward: 0.5500,                 loss: 0.0036
second_0:                 episode reward: -0.5500,                 loss: 0.0040
Episode: 201, avg. length 1784.0
first_0:                 episode reward: -0.9000,                 loss: 0.0038
second_0:                 episode reward: 0.9000,                 loss: 0.0039
Episode: 221, avg. length 1784.0
first_0:                 episode reward: -3.1000,                 loss: 0.0064
second_0:                 episode reward: 3.1000,                 loss: 0.0062
Episode: 241, avg. length 1784.0
first_0:                 episode reward: -3.1000,                 loss: 0.0100
