pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
combat_plane_v1 pettingzoo
Load combat_plane_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
random seed: 76
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fbc5c7aedd0>
No agent are not learnable.
Arguments:  {'env_name': 'combat_plane_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 0.1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10}}
Save models to : /home/zihan/research/MARS/data/model/20211109_1530/pettingzoo_combat_plane_v1_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20211109_1530/pettingzoo_combat_plane_v1_nash_dqn.
Episode: 1, avg. length 2045.0
first_0:                 episode reward: 2.0000,                 loss: 0.0105
second_0:                 episode reward: -2.0000,                 loss: 0.0104
Episode: 21, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: 0.0057
second_0:                 episode reward: -0.4500,                 loss: 0.0055
Episode: 41, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.0059
second_0:                 episode reward: 0.1500,                 loss: 0.0060
Episode: 61, avg. length 2045.0
first_0:                 episode reward: 0.3500,                 loss: 0.0062
second_0:                 episode reward: -0.3500,                 loss: 0.0062
Episode: 81, avg. length 2045.0
first_0:                 episode reward: -0.8500,                 loss: 0.0065
second_0:                 episode reward: 0.8500,                 loss: 0.0065
Episode: 101, avg. length 2045.0
first_0:                 episode reward: -1.0000,                 loss: 0.0063
second_0:                 episode reward: 1.0000,                 loss: 0.0064
Episode: 121, avg. length 2045.0
first_0:                 episode reward: -2.1500,                 loss: 0.0065
second_0:                 episode reward: 2.1500,                 loss: 0.0063
Episode: 141, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: 0.0062
second_0:                 episode reward: -0.5500,                 loss: 0.0061
Episode: 161, avg. length 2045.0
first_0:                 episode reward: -0.2500,                 loss: 0.0061
second_0:                 episode reward: 0.2500,                 loss: 0.0063
Episode: 181, avg. length 2045.0
first_0:                 episode reward: 1.1000,                 loss: 0.0062
second_0:                 episode reward: -1.1000,                 loss: 0.0059
Episode: 201, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: 0.0061
second_0:                 episode reward: -0.1500,                 loss: 0.0059
Episode: 221, avg. length 2045.0
first_0:                 episode reward: 0.4000,                 loss: 0.0062
second_0:                 episode reward: -0.4000,                 loss: 0.0062
Episode: 241, avg. length 2045.0
first_0:                 episode reward: 0.4000,                 loss: 0.0058
second_0:                 episode reward: -0.4000,                 loss: 0.0058
Episode: 261, avg. length 2045.0
first_0:                 episode reward: -0.8500,                 loss: 0.0057
second_0:                 episode reward: 0.8500,                 loss: 0.0060
Episode: 281, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: 0.0062
second_0:                 episode reward: 0.6500,                 loss: 0.0060
Episode: 301, avg. length 2045.0
first_0:                 episode reward: -0.2500,                 loss: 0.0060
second_0:                 episode reward: 0.2500,                 loss: 0.0060
Episode: 321, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0060
second_0:                 episode reward: 0.5000,                 loss: 0.0064
Episode: 341, avg. length 2045.0
first_0:                 episode reward: -0.2500,                 loss: 0.0064
second_0:                 episode reward: 0.2500,                 loss: 0.0062
Episode: 361, avg. length 2045.0
first_0:                 episode reward: 0.6000,                 loss: 0.0061
second_0:                 episode reward: -0.6000,                 loss: 0.0061
Episode: 381, avg. length 2045.0
first_0:                 episode reward: 2.1500,                 loss: 0.0063
second_0:                 episode reward: -2.1500,                 loss: 0.0062
Episode: 401, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0059
second_0:                 episode reward: -0.0500,                 loss: 0.0060
Episode: 421, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: 0.0060
second_0:                 episode reward: 0.4000,                 loss: 0.0059
Episode: 441, avg. length 2045.0
first_0:                 episode reward: 0.6500,                 loss: 0.0058
second_0:                 episode reward: -0.6500,                 loss: 0.0060
Episode: 461, avg. length 2045.0
first_0:                 episode reward: 0.8500,                 loss: 0.0060
second_0:                 episode reward: -0.8500,                 loss: 0.0061
Episode: 481, avg. length 2045.0
first_0:                 episode reward: -0.4500,                 loss: 0.0058
second_0:                 episode reward: 0.4500,                 loss: 0.0058
Episode: 501, avg. length 2045.0
first_0:                 episode reward: -0.7000,                 loss: 0.0058
second_0:                 episode reward: 0.7000,                 loss: 0.0060
Episode: 521, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0057
second_0:                 episode reward: 0.5000,                 loss: 0.0059
Episode: 541, avg. length 2045.0
first_0:                 episode reward: -0.3000,                 loss: 0.0057
second_0:                 episode reward: 0.3000,                 loss: 0.0057
Episode: 561, avg. length 2045.0
first_0:                 episode reward: 0.8000,                 loss: 0.0057
second_0:                 episode reward: -0.8000,                 loss: 0.0059
Episode: 581, avg. length 2045.0
first_0:                 episode reward: -2.4000,                 loss: 0.0057
second_0:                 episode reward: 2.4000,                 loss: 0.0059
Episode: 601, avg. length 2045.0
first_0:                 episode reward: -1.1000,                 loss: 0.0062
second_0:                 episode reward: 1.1000,                 loss: 0.0060
Episode: 621, avg. length 2045.0
first_0:                 episode reward: 1.0000,                 loss: 0.0061
second_0:                 episode reward: -1.0000,                 loss: 0.0062
Episode: 641, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0059
second_0:                 episode reward: 0.0000,                 loss: 0.0060
Episode: 661, avg. length 2045.0
first_0:                 episode reward: 0.8500,                 loss: 0.0057
second_0:                 episode reward: -0.8500,                 loss: 0.0057
Episode: 681, avg. length 2045.0
first_0:                 episode reward: 0.8500,                 loss: 0.0057
second_0:                 episode reward: -0.8500,                 loss: 0.0056
Episode: 701, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.0057
second_0:                 episode reward: -0.1000,                 loss: 0.0060
Episode: 721, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: 0.0061
second_0:                 episode reward: 0.0500,                 loss: 0.0061
Episode: 741, avg. length 2045.0
first_0:                 episode reward: 0.6000,                 loss: 0.0060
second_0:                 episode reward: -0.6000,                 loss: 0.0062
Episode: 761, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0062
second_0:                 episode reward: -0.0500,                 loss: 0.0060
Episode: 781, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.0062
second_0:                 episode reward: -0.2000,                 loss: 0.0061
Episode: 801, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: 0.0061
second_0:                 episode reward: 0.1000,                 loss: 0.0060
Episode: 821, avg. length 2045.0
first_0:                 episode reward: 0.7000,                 loss: 0.0060
second_0:                 episode reward: -0.7000,                 loss: 0.0059
Episode: 841, avg. length 2045.0
first_0:                 episode reward: 0.8500,                 loss: 0.0061
second_0:                 episode reward: -0.8500,                 loss: 0.0060
Episode: 861, avg. length 2045.0
first_0:                 episode reward: 1.0500,                 loss: 0.0061
second_0:                 episode reward: -1.0500,                 loss: 0.0059
Episode: 881, avg. length 2045.0
first_0:                 episode reward: 1.3000,                 loss: 0.0059
second_0:                 episode reward: -1.3000,                 loss: 0.0060
Episode: 901, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: 0.0060
second_0:                 episode reward: 0.6500,                 loss: 0.0059
Episode: 921, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: 0.0058
second_0:                 episode reward: -0.3000,                 loss: 0.0057
Episode: 941, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.0057
second_0:                 episode reward: -0.1000,                 loss: 0.0056
Episode: 961, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0056
second_0:                 episode reward: -0.2500,                 loss: 0.0058
Episode: 981, avg. length 2045.0
first_0:                 episode reward: 1.1000,                 loss: 0.0053
second_0:                 episode reward: -1.1000,                 loss: 0.0054
Episode: 1001, avg. length 2045.0
first_0:                 episode reward: -0.5500,                 loss: 0.0054
second_0:                 episode reward: 0.5500,                 loss: 0.0054
Episode: 1021, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: 0.0054
second_0:                 episode reward: 0.6000,                 loss: 0.0055
Episode: 1041, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0059
second_0:                 episode reward: -0.0500,                 loss: 0.0059
Episode: 1061, avg. length 2045.0
first_0:                 episode reward: 1.4000,                 loss: 0.0058
second_0:                 episode reward: -1.4000,                 loss: 0.0060
Episode: 1081, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.0060
second_0:                 episode reward: 0.1500,                 loss: 0.0059
Episode: 1101, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0058
second_0:                 episode reward: -0.2500,                 loss: 0.0059
Episode: 1121, avg. length 2045.0
first_0:                 episode reward: 0.5000,                 loss: 0.0059
second_0:                 episode reward: -0.5000,                 loss: 0.0059
Episode: 1141, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: 0.0060
second_0:                 episode reward: -0.5500,                 loss: 0.0059
Episode: 1161, avg. length 2045.0
first_0:                 episode reward: -1.3000,                 loss: 0.0057
second_0:                 episode reward: 1.3000,                 loss: 0.0058
Episode: 1181, avg. length 2045.0
first_0:                 episode reward: 1.0000,                 loss: 0.0055
second_0:                 episode reward: -1.0000,                 loss: 0.0058
Episode: 1201, avg. length 2045.0
first_0:                 episode reward: -0.8000,                 loss: 0.0058
second_0:                 episode reward: 0.8000,                 loss: 0.0055
Episode: 1221, avg. length 2045.0
first_0:                 episode reward: 0.5000,                 loss: 0.0055
second_0:                 episode reward: -0.5000,                 loss: 0.0057
Episode: 1241, avg. length 2045.0
first_0:                 episode reward: -0.3000,                 loss: 0.0057
second_0:                 episode reward: 0.3000,                 loss: 0.0055
Episode: 1261, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: 0.0055
second_0:                 episode reward: 0.6000,                 loss: 0.0057
Episode: 1281, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: 0.0055
second_0:                 episode reward: 0.6000,                 loss: 0.0058
Episode: 1301, avg. length 2045.0
first_0:                 episode reward: -0.3000,                 loss: 0.0054
second_0:                 episode reward: 0.3000,                 loss: 0.0055
Episode: 1321, avg. length 2045.0
first_0:                 episode reward: -0.8500,                 loss: 0.0054
second_0:                 episode reward: 0.8500,                 loss: 0.0056
Episode: 1341, avg. length 2045.0
first_0:                 episode reward: 0.4000,                 loss: 0.0058
second_0:                 episode reward: -0.4000,                 loss: 0.0059
Episode: 1361, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: 0.0056
second_0:                 episode reward: 0.2000,                 loss: 0.0058
Episode: 1381, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0054
second_0:                 episode reward: 0.5000,                 loss: 0.0053
Episode: 1401, avg. length 2045.0
first_0:                 episode reward: -0.9500,                 loss: 0.0056
second_0:                 episode reward: 0.9500,                 loss: 0.0056
Episode: 1421, avg. length 2045.0
first_0:                 episode reward: -0.8000,                 loss: 0.0058
second_0:                 episode reward: 0.8000,                 loss: 0.0059
Episode: 1441, avg. length 2045.0
first_0:                 episode reward: -1.3500,                 loss: 0.0060
second_0:                 episode reward: 1.3500,                 loss: 0.0059
Episode: 1461, avg. length 2045.0
first_0:                 episode reward: -1.2500,                 loss: 0.0061
second_0:                 episode reward: 1.2500,                 loss: 0.0059
Episode: 1481, avg. length 2045.0
first_0:                 episode reward: 0.6000,                 loss: 0.0059
second_0:                 episode reward: -0.6000,                 loss: 0.0060
Episode: 1501, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: 0.0059
second_0:                 episode reward: 0.6000,                 loss: 0.0058
Episode: 1521, avg. length 2045.0
first_0:                 episode reward: 0.6500,                 loss: 0.0059
second_0:                 episode reward: -0.6500,                 loss: 0.0058
Episode: 1541, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0063
second_0:                 episode reward: 0.0000,                 loss: 0.0061
Episode: 1561, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: 0.0063
second_0:                 episode reward: 0.2000,                 loss: 0.0065
Episode: 1581, avg. length 2045.0
first_0:                 episode reward: 0.9000,                 loss: 0.0063
second_0:                 episode reward: -0.9000,                 loss: 0.0065
Episode: 1601, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: 0.0064
second_0:                 episode reward: 0.1000,                 loss: 0.0065
Episode: 1621, avg. length 2045.0
first_0:                 episode reward: -1.1500,                 loss: 0.0060
second_0:                 episode reward: 1.1500,                 loss: 0.0058
Episode: 1641, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: 0.0055
second_0:                 episode reward: -0.3000,                 loss: 0.0056
Episode: 1661, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: 0.0058
second_0:                 episode reward: 0.2000,                 loss: 0.0057
Episode: 1681, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: 0.0060
second_0:                 episode reward: -0.4500,                 loss: 0.0060
Episode: 1701, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: 0.0061
second_0:                 episode reward: -0.5500,                 loss: 0.0060
Episode: 1721, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0060
second_0:                 episode reward: -0.0500,                 loss: 0.0057
Episode: 1741, avg. length 2045.0
first_0:                 episode reward: -0.8000,                 loss: 0.0055
second_0:                 episode reward: 0.8000,                 loss: 0.0057
Episode: 1761, avg. length 2045.0
first_0:                 episode reward: -1.4500,                 loss: 0.0057
second_0:                 episode reward: 1.4500,                 loss: 0.0058
Episode: 1781, avg. length 2045.0
first_0:                 episode reward: -1.1500,                 loss: 0.0058
second_0:                 episode reward: 1.1500,                 loss: 0.0057
Episode: 1801, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: 0.0057
second_0:                 episode reward: 0.3500,                 loss: 0.0056
Episode: 1821, avg. length 2045.0
first_0:                 episode reward: 1.0000,                 loss: 0.0057
second_0:                 episode reward: -1.0000,                 loss: 0.0057
Episode: 1841, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0057
second_0:                 episode reward: -0.0500,                 loss: 0.0058
Episode: 1861, avg. length 2045.0
first_0:                 episode reward: -0.8500,                 loss: 0.0056
second_0:                 episode reward: 0.8500,                 loss: 0.0057
Episode: 1881, avg. length 2045.0
first_0:                 episode reward: 0.9000,                 loss: 0.0057
second_0:                 episode reward: -0.9000,                 loss: 0.0057
