pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=256, bias=True)
      (1): ReLU()
      (2): Linear(in_features=256, out_features=256, bias=True)
      (3): ReLU()
      (4): Linear(in_features=256, out_features=256, bias=True)
      (5): ReLU()
      (6): Linear(in_features=256, out_features=256, bias=True)
      (7): ReLU()
      (8): Linear(in_features=256, out_features=5, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=256, bias=True)
      (1): ReLU()
      (2): Linear(in_features=256, out_features=256, bias=True)
      (3): ReLU()
      (4): Linear(in_features=256, out_features=256, bias=True)
      (5): ReLU()
      (6): Linear(in_features=256, out_features=256, bias=True)
      (7): ReLU()
      (8): Linear(in_features=256, out_features=5, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 5, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
Save models to : /home/zihan/research/MARS/data/model/20220206_1455/pettingzoo_surround_v1_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20220206_1455/pettingzoo_surround_v1_nash_dqn.
Episode: 1/10000 (0.0100%),                 avg. length: 1513.0,                last time consumption/overall running time: 55.7129s / 55.7129 s
env0_first_0:                 episode reward: -4.0000,                 loss: 0.0408
env0_second_0:                 episode reward: 4.0000,                 loss: 0.0401
env1_first_0:                 episode reward: -2.0000,                 loss: nan
env1_second_0:                 episode reward: 2.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1519.3,                last time consumption/overall running time: 1301.3964s / 1357.1093 s
env0_first_0:                 episode reward: 0.9500,                 loss: 0.0364
env0_second_0:                 episode reward: -0.9500,                 loss: 0.0369
env1_first_0:                 episode reward: -0.6500,                 loss: nan
env1_second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 1507.8,                last time consumption/overall running time: 1476.6842s / 2833.7935 s
env0_first_0:                 episode reward: -0.1000,                 loss: 0.0360
env0_second_0:                 episode reward: 0.1000,                 loss: 0.0355
env1_first_0:                 episode reward: -1.8500,                 loss: nan
env1_second_0:                 episode reward: 1.8500,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1507.45,                last time consumption/overall running time: 1656.4539s / 4490.2474 s
env0_first_0:                 episode reward: 0.2500,                 loss: 0.0346
env0_second_0:                 episode reward: -0.2500,                 loss: 0.0355
env1_first_0:                 episode reward: -0.7500,                 loss: nan
env1_second_0:                 episode reward: 0.7500,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 1506.75,                last time consumption/overall running time: 1769.9341s / 6260.1816 s
env0_first_0:                 episode reward: -0.9500,                 loss: 0.0333
env0_second_0:                 episode reward: 0.9500,                 loss: 0.0339
env1_first_0:                 episode reward: 0.2000,                 loss: nan
env1_second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 1608.65,                last time consumption/overall running time: 1902.6634s / 8162.8450 s
env0_first_0:                 episode reward: -0.3500,                 loss: 0.0328
env0_second_0:                 episode reward: 0.3500,                 loss: 0.0324
env1_first_0:                 episode reward: 0.2000,                 loss: nan
env1_second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 1466.05,                last time consumption/overall running time: 1736.0483s / 9898.8933 s
env0_first_0:                 episode reward: -1.6000,                 loss: 0.0310
env0_second_0:                 episode reward: 1.6000,                 loss: 0.0306
env1_first_0:                 episode reward: 1.6000,                 loss: nan
env1_second_0:                 episode reward: -1.6000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 1543.05,                last time consumption/overall running time: 1825.4349s / 11724.3282 s
env0_first_0:                 episode reward: -0.3500,                 loss: 0.0308
env0_second_0:                 episode reward: 0.3500,                 loss: 0.0302
env1_first_0:                 episode reward: 1.3500,                 loss: nan
env1_second_0:                 episode reward: -1.3500,                 loss: nan
