pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
boxing_v1 pettingzoo
Load boxing_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f8f7f043990>
boxing_v1 pettingzoo
Load boxing_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 1122, 'against_baseline': False, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': True, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nxdo', 'marl_spec': {'selfplay_score_delta': 50, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Episode: 1, avg. length 1784.0
first_0:                 episode reward: 2.0000,                 loss: 0.0093
second_0:                 episode reward: -2.0000,                 loss: nan
Episode: 21, avg. length 1784.0
first_0:                 episode reward: -0.0500,                 loss: 0.0138
second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 41, avg. length 1784.0
first_0:                 episode reward: 1.5000,                 loss: 0.0196
second_0:                 episode reward: -1.5000,                 loss: nan
Episode: 61, avg. length 1784.0
first_0:                 episode reward: 14.5500,                 loss: 0.0138
second_0:                 episode reward: -14.5500,                 loss: nan
Episode: 81, avg. length 1784.0
first_0:                 episode reward: 14.0500,                 loss: 0.3869
second_0:                 episode reward: -14.0500,                 loss: nan
Score delta: 50.8, udpate the opponent.
Episode: 101, avg. length 1784.0
first_0:                 episode reward: 7.6000,                 loss: 0.1668
second_0:                 episode reward: -7.6000,                 loss: nan
Episode: 121, avg. length 1784.0
first_0:                 episode reward: 7.8500,                 loss: 0.0312
second_0:                 episode reward: -7.8500,                 loss: nan
Episode: 141, avg. length 1784.0
first_0:                 episode reward: 8.8000,                 loss: 0.0182
second_0:                 episode reward: -8.8000,                 loss: nan
Episode: 161, avg. length 1784.0
first_0:                 episode reward: 19.4000,                 loss: 0.0229
second_0:                 episode reward: -19.4000,                 loss: nan
Episode: 181, avg. length 1784.0
first_0:                 episode reward: 18.8000,                 loss: 0.3279
second_0:                 episode reward: -18.8000,                 loss: nan
Score delta: 54.6, udpate the opponent.
Episode: 201, avg. length 1784.0
first_0:                 episode reward: 9.3000,                 loss: 1.3043
second_0:                 episode reward: -9.3000,                 loss: nan
Episode: 221, avg. length 1784.0
first_0:                 episode reward: 11.5000,                 loss: 1.3861
second_0:                 episode reward: -11.5000,                 loss: nan
Episode: 241, avg. length 1784.0
first_0:                 episode reward: 5.0500,                 loss: 1.2067
second_0:                 episode reward: -5.0500,                 loss: nan
