pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
ice_hockey_v1 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [26, 31]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=256, bias=True)
      (1): ReLU()
      (2): Linear(in_features=256, out_features=256, bias=True)
      (3): ReLU()
      (4): Linear(in_features=256, out_features=256, bias=True)
      (5): ReLU()
      (6): Linear(in_features=256, out_features=256, bias=True)
      (7): ReLU()
      (8): Linear(in_features=256, out_features=18, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=256, bias=True)
      (1): ReLU()
      (2): Linear(in_features=256, out_features=256, bias=True)
      (3): ReLU()
      (4): Linear(in_features=256, out_features=256, bias=True)
      (5): ReLU()
      (6): Linear(in_features=256, out_features=256, bias=True)
      (7): ReLU()
      (8): Linear(in_features=256, out_features=18, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'ice_hockey_v1', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nfsp', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False, 'eta': 0.1}}
Save models to : /home/zihan/research/MARS/data/model/20220115_0159/pettingzoo_ice_hockey_v1_nfsp. 
 Save logs to: /home/zihan/research/MARS/data/log/20220115_0159/pettingzoo_ice_hockey_v1_nfsp.
Episode: 1/10000 (0.0100%),                 avg. length: 2790.0,                last time consumption/overall running time: 9.4080s / 9.4080 s
env0_first_0:                 episode reward: 1.0000,                 loss: nan
env0_second_0:                 episode reward: -1.0000,                 loss: nan
env1_first_0:                 episode reward: 0.0000,                 loss: nan
env1_second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 2841.95,                last time consumption/overall running time: 839.9514s / 849.3594 s
env0_first_0:                 episode reward: 0.2500,                 loss: nan
env0_second_0:                 episode reward: -0.2500,                 loss: nan
env1_first_0:                 episode reward: -0.3500,                 loss: nan
env1_second_0:                 episode reward: 0.3500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 2840.85,                last time consumption/overall running time: 974.4393s / 1823.7987 s
env0_first_0:                 episode reward: 0.0500,                 loss: 0.0013
env0_second_0:                 episode reward: -0.0500,                 loss: 0.0015
env1_first_0:                 episode reward: 0.5500,                 loss: nan
env1_second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 2864.8,                last time consumption/overall running time: 984.9158s / 2808.7145 s
env0_first_0:                 episode reward: 0.4000,                 loss: 0.0010
env0_second_0:                 episode reward: -0.4000,                 loss: 0.0016
env1_first_0:                 episode reward: -0.9000,                 loss: nan
env1_second_0:                 episode reward: 0.9000,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 2894.75,                last time consumption/overall running time: 992.6444s / 3801.3589 s
env0_first_0:                 episode reward: 0.0000,                 loss: 0.0009
env0_second_0:                 episode reward: 0.0000,                 loss: 0.0013
env1_first_0:                 episode reward: 0.9000,                 loss: nan
env1_second_0:                 episode reward: -0.9000,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 2895.5,                last time consumption/overall running time: 988.7577s / 4790.1166 s
env0_first_0:                 episode reward: -0.5000,                 loss: 0.0008
env0_second_0:                 episode reward: 0.5000,                 loss: 0.0010
env1_first_0:                 episode reward: 0.7500,                 loss: nan
env1_second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 2891.25,                last time consumption/overall running time: 994.3988s / 5784.5154 s
env0_first_0:                 episode reward: 0.1000,                 loss: 0.0008
env0_second_0:                 episode reward: -0.1000,                 loss: 0.0008
env1_first_0:                 episode reward: 1.4500,                 loss: nan
env1_second_0:                 episode reward: -1.4500,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 2866.05,                last time consumption/overall running time: 980.9803s / 6765.4957 s
env0_first_0:                 episode reward: 0.7000,                 loss: 0.0009
env0_second_0:                 episode reward: -0.7000,                 loss: 0.0007
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 2896.2,                last time consumption/overall running time: 988.4331s / 7753.9289 s
env0_first_0:                 episode reward: 0.1500,                 loss: 0.0009
env0_second_0:                 episode reward: -0.1500,                 loss: 0.0008
env1_first_0:                 episode reward: 1.8000,                 loss: nan
env1_second_0:                 episode reward: -1.8000,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 2873.55,                last time consumption/overall running time: 988.3656s / 8742.2944 s
env0_first_0:                 episode reward: 0.8000,                 loss: 0.0009
env0_second_0:                 episode reward: -0.8000,                 loss: 0.0007
env1_first_0:                 episode reward: 2.3000,                 loss: nan
env1_second_0:                 episode reward: -2.3000,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 2896.85,                last time consumption/overall running time: 994.5053s / 9736.7997 s
env0_first_0:                 episode reward: 1.2000,                 loss: 0.0011
env0_second_0:                 episode reward: -1.2000,                 loss: 0.0007
env1_first_0:                 episode reward: 1.7500,                 loss: nan
env1_second_0:                 episode reward: -1.7500,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 2870.0,                last time consumption/overall running time: 984.4649s / 10721.2647 s
env0_first_0:                 episode reward: 1.0500,                 loss: 0.0012
env0_second_0:                 episode reward: -1.0500,                 loss: 0.0009
env1_first_0:                 episode reward: 1.6000,                 loss: nan
env1_second_0:                 episode reward: -1.6000,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 2886.65,                last time consumption/overall running time: 991.6419s / 11712.9066 s
env0_first_0:                 episode reward: 1.0000,                 loss: 0.0012
env0_second_0:                 episode reward: -1.0000,                 loss: 0.0007
env1_first_0:                 episode reward: 1.3000,                 loss: nan
env1_second_0:                 episode reward: -1.3000,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 2876.3,                last time consumption/overall running time: 988.6307s / 12701.5372 s
env0_first_0:                 episode reward: -0.1000,                 loss: 0.0012
env0_second_0:                 episode reward: 0.1000,                 loss: 0.0009
env1_first_0:                 episode reward: 1.0500,                 loss: nan
env1_second_0:                 episode reward: -1.0500,                 loss: nan
Episode: 281/10000 (2.8100%),                 avg. length: 2903.6,                last time consumption/overall running time: 996.2358s / 13697.7730 s
env0_first_0:                 episode reward: 0.7000,                 loss: 0.0015
env0_second_0:                 episode reward: -0.7000,                 loss: 0.0010
env1_first_0:                 episode reward: 1.6000,                 loss: nan
env1_second_0:                 episode reward: -1.6000,                 loss: nan
Episode: 301/10000 (3.0100%),                 avg. length: 2896.3,                last time consumption/overall running time: 997.1953s / 14694.9683 s
env0_first_0:                 episode reward: 2.1000,                 loss: 0.0014
env0_second_0:                 episode reward: -2.1000,                 loss: 0.0010
env1_first_0:                 episode reward: 0.7000,                 loss: nan
env1_second_0:                 episode reward: -0.7000,                 loss: nan
Episode: 321/10000 (3.2100%),                 avg. length: 2882.3,                last time consumption/overall running time: 986.3759s / 15681.3442 s
env0_first_0:                 episode reward: 0.8000,                 loss: 0.0012
env0_second_0:                 episode reward: -0.8000,                 loss: 0.0008
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 341/10000 (3.4100%),                 avg. length: 2885.35,                last time consumption/overall running time: 992.0537s / 16673.3979 s
env0_first_0:                 episode reward: 0.5000,                 loss: 0.0010
env0_second_0:                 episode reward: -0.5000,                 loss: 0.0007
env1_first_0:                 episode reward: 0.2500,                 loss: nan
env1_second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 361/10000 (3.6100%),                 avg. length: 2868.7,                last time consumption/overall running time: 986.9724s / 17660.3704 s
env0_first_0:                 episode reward: 0.9500,                 loss: 0.0012
env0_second_0:                 episode reward: -0.9500,                 loss: 0.0007
env1_first_0:                 episode reward: 1.6500,                 loss: nan
env1_second_0:                 episode reward: -1.6500,                 loss: nan
Episode: 381/10000 (3.8100%),                 avg. length: 2859.75,                last time consumption/overall running time: 977.3891s / 18637.7595 s
env0_first_0:                 episode reward: 0.2000,                 loss: 0.0011
env0_second_0:                 episode reward: -0.2000,                 loss: 0.0006
env1_first_0:                 episode reward: 0.3500,                 loss: nan
env1_second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 401/10000 (4.0100%),                 avg. length: 2862.45,                last time consumption/overall running time: 983.5990s / 19621.3585 s
env0_first_0:                 episode reward: 1.2500,                 loss: 0.0010
env0_second_0:                 episode reward: -1.2500,                 loss: 0.0006
env1_first_0:                 episode reward: 1.4000,                 loss: nan
env1_second_0:                 episode reward: -1.4000,                 loss: nan
Episode: 421/10000 (4.2100%),                 avg. length: 2861.7,                last time consumption/overall running time: 984.2739s / 20605.6324 s
env0_first_0:                 episode reward: 0.7500,                 loss: 0.0010
env0_second_0:                 episode reward: -0.7500,                 loss: 0.0006
env1_first_0:                 episode reward: 0.8000,                 loss: nan
env1_second_0:                 episode reward: -0.8000,                 loss: nan
Episode: 441/10000 (4.4100%),                 avg. length: 2903.95,                last time consumption/overall running time: 997.8811s / 21603.5135 s
env0_first_0:                 episode reward: 0.6000,                 loss: 0.0009
env0_second_0:                 episode reward: -0.6000,                 loss: 0.0006
env1_first_0:                 episode reward: -0.1500,                 loss: nan
env1_second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 461/10000 (4.6100%),                 avg. length: 2867.5,                last time consumption/overall running time: 981.2020s / 22584.7155 s
env0_first_0:                 episode reward: 0.9000,                 loss: 0.0008
env0_second_0:                 episode reward: -0.9000,                 loss: 0.0007
env1_first_0:                 episode reward: 0.4500,                 loss: nan
env1_second_0:                 episode reward: -0.4500,                 loss: nan
Episode: 481/10000 (4.8100%),                 avg. length: 2910.4,                last time consumption/overall running time: 999.0403s / 23583.7558 s
env0_first_0:                 episode reward: 1.4500,                 loss: 0.0010
env0_second_0:                 episode reward: -1.4500,                 loss: 0.0008
env1_first_0:                 episode reward: 0.8500,                 loss: nan
env1_second_0:                 episode reward: -0.8500,                 loss: nan
Episode: 501/10000 (5.0100%),                 avg. length: 2884.85,                last time consumption/overall running time: 988.6328s / 24572.3886 s
env0_first_0:                 episode reward: 0.5000,                 loss: 0.0009
env0_second_0:                 episode reward: -0.5000,                 loss: 0.0007
env1_first_0:                 episode reward: 0.9500,                 loss: nan
env1_second_0:                 episode reward: -0.9500,                 loss: nan
Episode: 521/10000 (5.2100%),                 avg. length: 2893.4,                last time consumption/overall running time: 988.8742s / 25561.2628 s
env0_first_0:                 episode reward: 0.3000,                 loss: 0.0010
env0_second_0:                 episode reward: -0.3000,                 loss: 0.0006
env1_first_0:                 episode reward: 0.3000,                 loss: nan
env1_second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 541/10000 (5.4100%),                 avg. length: 2893.85,                last time consumption/overall running time: 989.3397s / 26550.6025 s
env0_first_0:                 episode reward: 1.2000,                 loss: 0.0012
env0_second_0:                 episode reward: -1.2000,                 loss: 0.0007
env1_first_0:                 episode reward: 0.1000,                 loss: nan
env1_second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 561/10000 (5.6100%),                 avg. length: 2867.45,                last time consumption/overall running time: 979.9022s / 27530.5047 s
env0_first_0:                 episode reward: -0.5000,                 loss: 0.0011
env0_second_0:                 episode reward: 0.5000,                 loss: 0.0007
env1_first_0:                 episode reward: 0.5500,                 loss: nan
env1_second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 581/10000 (5.8100%),                 avg. length: 2855.0,                last time consumption/overall running time: 977.5679s / 28508.0726 s
env0_first_0:                 episode reward: 0.7500,                 loss: 0.0010
env0_second_0:                 episode reward: -0.7500,                 loss: 0.0007
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 601/10000 (6.0100%),                 avg. length: 2868.4,                last time consumption/overall running time: 979.7603s / 29487.8328 s
env0_first_0:                 episode reward: 1.0500,                 loss: 0.0009
env0_second_0:                 episode reward: -1.0500,                 loss: 0.0006
env1_first_0:                 episode reward: 0.5500,                 loss: nan
env1_second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 621/10000 (6.2100%),                 avg. length: 2843.8,                last time consumption/overall running time: 974.2537s / 30462.0866 s
env0_first_0:                 episode reward: 1.5000,                 loss: 0.0008
env0_second_0:                 episode reward: -1.5000,                 loss: 0.0006
env1_first_0:                 episode reward: 0.7500,                 loss: nan
env1_second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 641/10000 (6.4100%),                 avg. length: 2864.85,                last time consumption/overall running time: 981.7888s / 31443.8754 s
env0_first_0:                 episode reward: 0.3000,                 loss: 0.0008
env0_second_0:                 episode reward: -0.3000,                 loss: 0.0006
env1_first_0:                 episode reward: 1.1500,                 loss: nan
env1_second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 661/10000 (6.6100%),                 avg. length: 2831.25,                last time consumption/overall running time: 971.4813s / 32415.3567 s
env0_first_0:                 episode reward: 0.5000,                 loss: 0.0007
env0_second_0:                 episode reward: -0.5000,                 loss: 0.0006
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 681/10000 (6.8100%),                 avg. length: 2835.65,                last time consumption/overall running time: 971.9103s / 33387.2670 s
env0_first_0:                 episode reward: -0.5500,                 loss: 0.0007
env0_second_0:                 episode reward: 0.5500,                 loss: 0.0005
env1_first_0:                 episode reward: -0.2000,                 loss: nan
env1_second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 701/10000 (7.0100%),                 avg. length: 2837.8,                last time consumption/overall running time: 972.1105s / 34359.3774 s
env0_first_0:                 episode reward: -0.1500,                 loss: 0.0007
env0_second_0:                 episode reward: 0.1500,                 loss: 0.0005
env1_first_0:                 episode reward: -0.3000,                 loss: nan
env1_second_0:                 episode reward: 0.3000,                 loss: nan
Episode: 721/10000 (7.2100%),                 avg. length: 2838.65,                last time consumption/overall running time: 978.2133s / 35337.5908 s
env0_first_0:                 episode reward: 0.1000,                 loss: 0.0007
env0_second_0:                 episode reward: -0.1000,                 loss: 0.0005
env1_first_0:                 episode reward: 0.3500,                 loss: nan
env1_second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 741/10000 (7.4100%),                 avg. length: 2843.6,                last time consumption/overall running time: 976.7980s / 36314.3887 s
env0_first_0:                 episode reward: 0.4500,                 loss: 0.0006
env0_second_0:                 episode reward: -0.4500,                 loss: 0.0005
env1_first_0:                 episode reward: -0.6000,                 loss: nan
env1_second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 761/10000 (7.6100%),                 avg. length: 2839.2,                last time consumption/overall running time: 977.6384s / 37292.0272 s
env0_first_0:                 episode reward: 0.6000,                 loss: 0.0008
env0_second_0:                 episode reward: -0.6000,                 loss: 0.0005
env1_first_0:                 episode reward: 1.0000,                 loss: nan
env1_second_0:                 episode reward: -1.0000,                 loss: nan
Episode: 781/10000 (7.8100%),                 avg. length: 2872.9,                last time consumption/overall running time: 987.9528s / 38279.9800 s
env0_first_0:                 episode reward: -0.7000,                 loss: 0.0007
env0_second_0:                 episode reward: 0.7000,                 loss: 0.0007
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 801/10000 (8.0100%),                 avg. length: 2831.55,                last time consumption/overall running time: 975.0829s / 39255.0628 s
env0_first_0:                 episode reward: 0.5500,                 loss: 0.0007
env0_second_0:                 episode reward: -0.5500,                 loss: 0.0005
env1_first_0:                 episode reward: -0.2000,                 loss: nan
env1_second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 821/10000 (8.2100%),                 avg. length: 2865.55,                last time consumption/overall running time: 981.8901s / 40236.9529 s
env0_first_0:                 episode reward: 0.5500,                 loss: 0.0006
env0_second_0:                 episode reward: -0.5500,                 loss: 0.0004
env1_first_0:                 episode reward: 1.1500,                 loss: nan
env1_second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 841/10000 (8.4100%),                 avg. length: 2852.05,                last time consumption/overall running time: 978.0978s / 41215.0506 s
env0_first_0:                 episode reward: 0.9500,                 loss: 0.0007
env0_second_0:                 episode reward: -0.9500,                 loss: 0.0005
env1_first_0:                 episode reward: 1.4000,                 loss: nan
env1_second_0:                 episode reward: -1.4000,                 loss: nan
Episode: 861/10000 (8.6100%),                 avg. length: 2834.9,                last time consumption/overall running time: 972.5856s / 42187.6362 s
env0_first_0:                 episode reward: -0.8500,                 loss: 0.0007
env0_second_0:                 episode reward: 0.8500,                 loss: 0.0005
env1_first_0:                 episode reward: 0.3500,                 loss: nan
env1_second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 881/10000 (8.8100%),                 avg. length: 2873.35,                last time consumption/overall running time: 989.1925s / 43176.8288 s
env0_first_0:                 episode reward: 0.1500,                 loss: 0.0006
env0_second_0:                 episode reward: -0.1500,                 loss: 0.0006
env1_first_0:                 episode reward: 0.4000,                 loss: nan
env1_second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 901/10000 (9.0100%),                 avg. length: 2865.85,                last time consumption/overall running time: 986.1352s / 44162.9639 s
env0_first_0:                 episode reward: 0.1500,                 loss: 0.0005
env0_second_0:                 episode reward: -0.1500,                 loss: 0.0005
env1_first_0:                 episode reward: -1.2000,                 loss: nan
env1_second_0:                 episode reward: 1.2000,                 loss: nan
Episode: 921/10000 (9.2100%),                 avg. length: 2875.5,                last time consumption/overall running time: 989.7785s / 45152.7425 s
env0_first_0:                 episode reward: 0.6000,                 loss: 0.0005
env0_second_0:                 episode reward: -0.6000,                 loss: 0.0006
env1_first_0:                 episode reward: 0.3000,                 loss: nan
env1_second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 941/10000 (9.4100%),                 avg. length: 2845.55,                last time consumption/overall running time: 977.7627s / 46130.5052 s
env0_first_0:                 episode reward: 0.3000,                 loss: 0.0005
env0_second_0:                 episode reward: -0.3000,                 loss: 0.0005
env1_first_0:                 episode reward: -0.1000,                 loss: nan
env1_second_0:                 episode reward: 0.1000,                 loss: nan
Episode: 961/10000 (9.6100%),                 avg. length: 2832.3,                last time consumption/overall running time: 972.4269s / 47102.9321 s
env0_first_0:                 episode reward: 0.8500,                 loss: 0.0006
env0_second_0:                 episode reward: -0.8500,                 loss: 0.0005
env1_first_0:                 episode reward: 0.6500,                 loss: nan
env1_second_0:                 episode reward: -0.6500,                 loss: nan
Episode: 981/10000 (9.8100%),                 avg. length: 2841.9,                last time consumption/overall running time: 976.1505s / 48079.0826 s
env0_first_0:                 episode reward: 0.4500,                 loss: 0.0005
env0_second_0:                 episode reward: -0.4500,                 loss: 0.0005
env1_first_0:                 episode reward: 0.4000,                 loss: nan
env1_second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 1001/10000 (10.0100%),                 avg. length: 2860.5,                last time consumption/overall running time: 985.7702s / 49064.8528 s
env0_first_0:                 episode reward: 0.8000,                 loss: 0.0006
env0_second_0:                 episode reward: -0.8000,                 loss: 0.0005
env1_first_0:                 episode reward: 0.2500,                 loss: nan
env1_second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 1021/10000 (10.2100%),                 avg. length: 2890.85,                last time consumption/overall running time: 995.9755s / 50060.8283 s
env0_first_0:                 episode reward: 1.0000,                 loss: 0.0006
env0_second_0:                 episode reward: -1.0000,                 loss: 0.0007
env1_first_0:                 episode reward: 1.1500,                 loss: nan
env1_second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 1041/10000 (10.4100%),                 avg. length: 2857.6,                last time consumption/overall running time: 981.2730s / 51042.1013 s
env0_first_0:                 episode reward: 0.8500,                 loss: 0.0007
env0_second_0:                 episode reward: -0.8500,                 loss: 0.0006
env1_first_0:                 episode reward: 0.6000,                 loss: nan
env1_second_0:                 episode reward: -0.6000,                 loss: nan
Episode: 1061/10000 (10.6100%),                 avg. length: 2848.15,                last time consumption/overall running time: 974.2766s / 52016.3779 s
env0_first_0:                 episode reward: 0.0500,                 loss: 0.0006
env0_second_0:                 episode reward: -0.0500,                 loss: 0.0005
env1_first_0:                 episode reward: 0.3500,                 loss: nan
env1_second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 1081/10000 (10.8100%),                 avg. length: 2879.55,                last time consumption/overall running time: 984.1339s / 53000.5118 s
env0_first_0:                 episode reward: 0.4500,                 loss: 0.0007
env0_second_0:                 episode reward: -0.4500,                 loss: 0.0005
env1_first_0:                 episode reward: 0.5500,                 loss: nan
env1_second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 1101/10000 (11.0100%),                 avg. length: 2867.85,                last time consumption/overall running time: 979.4074s / 53979.9193 s
env0_first_0:                 episode reward: -0.1000,                 loss: 0.0008
env0_second_0:                 episode reward: 0.1000,                 loss: 0.0005
env1_first_0:                 episode reward: 0.7000,                 loss: nan
env1_second_0:                 episode reward: -0.7000,                 loss: nan
Episode: 1121/10000 (11.2100%),                 avg. length: 2846.6,                last time consumption/overall running time: 976.9256s / 54956.8449 s
