pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
SlimeVolley-v0 slimevolley
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=12, out_features=1024, bias=True)
      (1): Tanh()
      (2): Linear(in_features=1024, out_features=1024, bias=True)
      (3): Tanh()
      (4): Linear(in_features=1024, out_features=1024, bias=True)
      (5): Tanh()
      (6): Linear(in_features=1024, out_features=6, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=12, out_features=1024, bias=True)
      (1): Tanh()
      (2): Linear(in_features=1024, out_features=1024, bias=True)
      (3): Tanh()
      (4): Linear(in_features=1024, out_features=1024, bias=True)
      (5): Tanh()
      (6): Linear(in_features=1024, out_features=6, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'SlimeVolley-v0', 'env_type': 'slimevolley', 'num_envs': 2, 'ram': True, 'seed': 'random', 'against_baseline': False, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 1000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [1024, 1024, 1024], 'hidden_activation': 'Tanh', 'output_activation': False}, 'marl_method': 'nfsp', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False, 'eta': 0.1}}
Save models to : /home/zihan/research/MARS/data/model/20220119_0524/slimevolley_SlimeVolley-v0_nfsp. 
 Save logs to: /home/zihan/research/MARS/data/log/20220119_0524/slimevolley_SlimeVolley-v0_nfsp.
Episode: 1/10000 (0.0100%),                 avg. length: 419.0,                last time consumption/overall running time: 2.8835s / 2.8835 s
env0_first_0:                 episode reward: 2.0000,                 loss: nan
env0_second_0:                 episode reward: -2.0000,                 loss: nan
env1_first_0:                 episode reward: 5.0000,                 loss: nan
env1_second_0:                 episode reward: -5.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 561.7,                last time consumption/overall running time: 238.3182s / 241.2017 s
env0_first_0:                 episode reward: 0.4500,                 loss: 0.0078
env0_second_0:                 episode reward: -0.4500,                 loss: 0.0068
env1_first_0:                 episode reward: -0.7000,                 loss: nan
env1_second_0:                 episode reward: 0.7000,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 602.05,                last time consumption/overall running time: 387.5536s / 628.7553 s
env0_first_0:                 episode reward: -0.5500,                 loss: 0.0110
env0_second_0:                 episode reward: 0.5500,                 loss: 0.0108
env1_first_0:                 episode reward: -0.4000,                 loss: nan
env1_second_0:                 episode reward: 0.4000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 567.45,                last time consumption/overall running time: 372.7058s / 1001.4611 s
env0_first_0:                 episode reward: 1.1000,                 loss: 0.0116
env0_second_0:                 episode reward: -1.1000,                 loss: 0.0112
env1_first_0:                 episode reward: 0.8000,                 loss: nan
env1_second_0:                 episode reward: -0.8000,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 558.3,                last time consumption/overall running time: 372.5104s / 1373.9715 s
env0_first_0:                 episode reward: -0.3500,                 loss: 0.0123
env0_second_0:                 episode reward: 0.3500,                 loss: 0.0116
env1_first_0:                 episode reward: -0.1500,                 loss: nan
env1_second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 622.7,                last time consumption/overall running time: 417.1672s / 1791.1387 s
env0_first_0:                 episode reward: 1.2500,                 loss: 0.0135
env0_second_0:                 episode reward: -1.2500,                 loss: 0.0128
env1_first_0:                 episode reward: 0.5500,                 loss: nan
env1_second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 547.7,                last time consumption/overall running time: 369.5252s / 2160.6639 s
env0_first_0:                 episode reward: 0.2500,                 loss: 0.0154
env0_second_0:                 episode reward: -0.2500,                 loss: 0.0142
env1_first_0:                 episode reward: 0.1000,                 loss: nan
env1_second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 574.55,                last time consumption/overall running time: 389.8860s / 2550.5498 s
env0_first_0:                 episode reward: 0.5000,                 loss: 0.0166
env0_second_0:                 episode reward: -0.5000,                 loss: 0.0141
env1_first_0:                 episode reward: -1.1000,                 loss: nan
env1_second_0:                 episode reward: 1.1000,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 577.3,                last time consumption/overall running time: 392.1007s / 2942.6506 s
env0_first_0:                 episode reward: -0.1500,                 loss: 0.0158
env0_second_0:                 episode reward: 0.1500,                 loss: 0.0150
env1_first_0:                 episode reward: -0.6500,                 loss: nan
env1_second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 558.85,                last time consumption/overall running time: 380.9939s / 3323.6445 s
env0_first_0:                 episode reward: -0.6500,                 loss: 0.0181
env0_second_0:                 episode reward: 0.6500,                 loss: 0.0144
env1_first_0:                 episode reward: -0.7500,                 loss: nan
env1_second_0:                 episode reward: 0.7500,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 600.45,                last time consumption/overall running time: 410.0337s / 3733.6782 s
env0_first_0:                 episode reward: -0.9000,                 loss: 0.0186
env0_second_0:                 episode reward: 0.9000,                 loss: 0.0147
env1_first_0:                 episode reward: -0.8500,                 loss: nan
env1_second_0:                 episode reward: 0.8500,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 585.95,                last time consumption/overall running time: 399.7656s / 4133.4438 s
env0_first_0:                 episode reward: 0.6500,                 loss: 0.0207
env0_second_0:                 episode reward: -0.6500,                 loss: 0.0153
env1_first_0:                 episode reward: -0.1000,                 loss: nan
env1_second_0:                 episode reward: 0.1000,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 554.75,                last time consumption/overall running time: 378.2722s / 4511.7160 s
env0_first_0:                 episode reward: 0.1000,                 loss: 0.0215
env0_second_0:                 episode reward: -0.1000,                 loss: 0.0153
env1_first_0:                 episode reward: -0.2000,                 loss: nan
env1_second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 582.4,                last time consumption/overall running time: 397.2961s / 4909.0122 s
env0_first_0:                 episode reward: -0.3000,                 loss: 0.0212
env0_second_0:                 episode reward: 0.3000,                 loss: 0.0160
env1_first_0:                 episode reward: 0.1000,                 loss: nan
env1_second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 281/10000 (2.8100%),                 avg. length: 596.65,                last time consumption/overall running time: 408.8213s / 5317.8335 s
env0_first_0:                 episode reward: -0.0500,                 loss: 0.0219
env0_second_0:                 episode reward: 0.0500,                 loss: 0.0174
