pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
boxing_v1 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'selfplay2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False, 'selfplay_score_delta': 80, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20220119_0524/pettingzoo_boxing_v1_selfplay2. 
 Save logs to: /home/zihan/research/MARS/data/log/20220119_0524/pettingzoo_boxing_v1_selfplay2.
Episode: 1/10000 (0.0100%),                 avg. length: 1784.0,                last time consumption/overall running time: 27.3274s / 27.3274 s
env0_first_0:                 episode reward: 1.0000,                 loss: 0.0026
env0_second_0:                 episode reward: -1.0000,                 loss: nan
env1_first_0:                 episode reward: 14.0000,                 loss: nan
env1_second_0:                 episode reward: -14.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1268.65,                last time consumption/overall running time: 490.1178s / 517.4452 s
env0_first_0:                 episode reward: 48.9000,                 loss: 0.0183
env0_second_0:                 episode reward: -48.9000,                 loss: nan
env1_first_0:                 episode reward: 50.8500,                 loss: nan
env1_second_0:                 episode reward: -50.8500,                 loss: nan
Score delta: 135.6, update the opponent.
Episode: 41/10000 (0.4100%),                 avg. length: 1475.2,                last time consumption/overall running time: 644.9676s / 1162.4128 s
env0_first_0:                 episode reward: -6.4500,                 loss: nan
env0_second_0:                 episode reward: 6.4500,                 loss: 0.0640
env1_first_0:                 episode reward: -10.8000,                 loss: nan
env1_second_0:                 episode reward: 10.8000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1784.0,                last time consumption/overall running time: 799.1009s / 1961.5137 s
env0_first_0:                 episode reward: -4.0000,                 loss: 0.0352
env0_second_0:                 episode reward: 4.0000,                 loss: 0.0585
env1_first_0:                 episode reward: -3.9500,                 loss: nan
env1_second_0:                 episode reward: 3.9500,                 loss: nan
Score delta: 92.2, update the opponent.
Episode: 81/10000 (0.8100%),                 avg. length: 1774.2,                last time consumption/overall running time: 799.4483s / 2760.9620 s
env0_first_0:                 episode reward: 9.4500,                 loss: 0.0319
env0_second_0:                 episode reward: -9.4500,                 loss: nan
env1_first_0:                 episode reward: 0.6000,                 loss: nan
env1_second_0:                 episode reward: -0.6000,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 1685.65,                last time consumption/overall running time: 758.0689s / 3519.0309 s
env0_first_0:                 episode reward: 31.4000,                 loss: 0.0483
env0_second_0:                 episode reward: -31.4000,                 loss: 0.0536
env1_first_0:                 episode reward: 37.5000,                 loss: nan
env1_second_0:                 episode reward: -37.5000,                 loss: nan
Score delta: 87.4, update the opponent.
Episode: 121/10000 (1.2100%),                 avg. length: 1784.0,                last time consumption/overall running time: 805.4008s / 4324.4317 s
env0_first_0:                 episode reward: 1.5000,                 loss: nan
env0_second_0:                 episode reward: -1.5000,                 loss: 0.0382
env1_first_0:                 episode reward: 2.3000,                 loss: nan
env1_second_0:                 episode reward: -2.3000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 1729.65,                last time consumption/overall running time: 781.6864s / 5106.1181 s
env0_first_0:                 episode reward: -27.3500,                 loss: 0.0473
env0_second_0:                 episode reward: 27.3500,                 loss: 0.0339
env1_first_0:                 episode reward: -25.9000,                 loss: nan
env1_second_0:                 episode reward: 25.9000,                 loss: nan
Score delta: 88.8, update the opponent.
Episode: 161/10000 (1.6100%),                 avg. length: 1609.35,                last time consumption/overall running time: 728.4149s / 5834.5330 s
env0_first_0:                 episode reward: 30.9500,                 loss: 0.0454
env0_second_0:                 episode reward: -30.9500,                 loss: 0.0410
env1_first_0:                 episode reward: 37.4000,                 loss: nan
env1_second_0:                 episode reward: -37.4000,                 loss: nan
Score delta: 87.6, update the opponent.
Episode: 181/10000 (1.8100%),                 avg. length: 1748.75,                last time consumption/overall running time: 791.0133s / 6625.5462 s
env0_first_0:                 episode reward: 5.2000,                 loss: nan
env0_second_0:                 episode reward: -5.2000,                 loss: 0.0388
env1_first_0:                 episode reward: 1.4000,                 loss: nan
env1_second_0:                 episode reward: -1.4000,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 1776.3,                last time consumption/overall running time: 801.7210s / 7427.2672 s
env0_first_0:                 episode reward: -25.6500,                 loss: 0.0450
env0_second_0:                 episode reward: 25.6500,                 loss: 0.0428
env1_first_0:                 episode reward: -18.8000,                 loss: nan
env1_second_0:                 episode reward: 18.8000,                 loss: nan
Score delta: 90.0, update the opponent.
Episode: 221/10000 (2.2100%),                 avg. length: 1561.7,                last time consumption/overall running time: 707.7807s / 8135.0479 s
env0_first_0:                 episode reward: 25.1000,                 loss: 0.0713
env0_second_0:                 episode reward: -25.1000,                 loss: 0.0320
env1_first_0:                 episode reward: 29.8500,                 loss: nan
env1_second_0:                 episode reward: -29.8500,                 loss: nan
Score delta: 96.6, update the opponent.
Episode: 241/10000 (2.4100%),                 avg. length: 1784.0,                last time consumption/overall running time: 807.8947s / 8942.9426 s
env0_first_0:                 episode reward: 4.8000,                 loss: nan
env0_second_0:                 episode reward: -4.8000,                 loss: 0.0191
env1_first_0:                 episode reward: -0.5000,                 loss: nan
env1_second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 1513.3,                last time consumption/overall running time: 686.2890s / 9629.2316 s
env0_first_0:                 episode reward: -34.5500,                 loss: 0.0418
env0_second_0:                 episode reward: 34.5500,                 loss: 0.0291
env1_first_0:                 episode reward: -28.0500,                 loss: nan
env1_second_0:                 episode reward: 28.0500,                 loss: nan
Score delta: 81.0, update the opponent.
Episode: 281/10000 (2.8100%),                 avg. length: 1784.0,                last time consumption/overall running time: 809.5844s / 10438.8160 s
env0_first_0:                 episode reward: -0.8000,                 loss: 0.0481
env0_second_0:                 episode reward: 0.8000,                 loss: nan
env1_first_0:                 episode reward: -4.1000,                 loss: nan
env1_second_0:                 episode reward: 4.1000,                 loss: nan
Episode: 301/10000 (3.0100%),                 avg. length: 1607.5,                last time consumption/overall running time: 729.2672s / 11168.0832 s
env0_first_0:                 episode reward: 46.0500,                 loss: 0.0310
